,id,Name,games_played,minutes_played,points_scored,goals_scored,goals_attempted,3_point_scored,3_point_attempted,free_throws_scored,free_throws_attempted,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnover,season,5Yrs
0,406,Shaquille O'Neal,81,37.9,23.4,9,16.1,0,0,5.3,8.9,4.2,9.6,1.9,0.7,3.5,3.8,1992,1
1,297,Alonzo Mourning,78,33.9,21,7.3,14.3,0,0,6.3,8.1,3.4,6.9,1,0.3,3.5,3,1992,1
2,363,Christian Laettner,81,34.9,18.2,6.2,13.1,0,0.5,5.7,6.8,2.1,6.6,2.8,1.3,1,3.4,1992,1
3,1005,Walt Williams,59,28.4,17,6.1,13.9,1,3.2,3.8,5.1,1.9,2.5,3,1.1,0.5,3,1992,1
4,30,Richard Dumas,48,27.5,15.8,6.3,12,0,0.1,3.2,4.5,2.1,2.6,1.3,1.8,0.8,1.9,1992,0
5,221,Clar. Weatherspoon,82,32.4,15.6,6,12.8,0,0,3.5,5,2.2,5,1.8,1,0.8,2.1,1992,1
6,84,Latrell Sprewell,77,35.6,15.4,5.8,12.6,0.9,2.6,2.7,3.7,1,2.5,3.8,1.6,0.7,2.6,1992,1
7,111,LaPhonso Ellis,82,33.5,14.7,5.9,11.7,0,0.2,2.9,3.9,3.3,5.7,1.8,0.9,1.4,1.9,1992,1
8,339,Tom Gugliotta,81,34.5,14.7,6,14,0.5,1.7,2.2,3.5,2.7,6.9,3.8,1.7,0.4,2.8,1992,1
9,103,Todd Day,71,27.2,13.8,5,11.7,0.8,2.6,3,4.2,2,2.1,1.6,1.1,0.7,1.7,1992,1
10,399,Sean Rooks,72,29,13.5,5.1,10.4,0,0,3.3,5.4,2.7,4.7,1.3,0.5,1.1,2.2,1992,1
11,324,Anthony Peeler,77,21.5,10.4,3.9,8.2,0.6,1.5,2.1,2.7,0.8,1.5,2.2,0.8,0.2,1.6,1992,1
12,114,Harold Miner,73,18.9,10.3,4,8.4,0,0.1,2.2,2.9,1,1,1,0.5,0.1,1.3,1992,0
13,109,Robert Horry,79,29.5,10.1,4.1,8.6,0.2,0.6,1.8,2.5,1.4,3.5,2.4,1,1.1,2,1992,1
14,138,Anthony Avent,82,27.9,9.8,4.2,9.8,0,0,1.4,2.1,2.2,4,1.1,0.7,0.9,1.7,1992,1
15,78227,Andre Spencer,20,21.1,9.4,3.7,8.2,0,0.1,2.1,2.7,1.9,2.2,1.2,0.9,0.4,1.3,1992,0
16,1380,Lloyd Daniels,77,20.4,9.1,3.7,8.4,0.8,2.3,0.9,1.3,1.1,1.7,1.9,0.5,0.4,1.3,1992,1
17,179,Bryant Stith,39,22.2,8.9,3.2,7.1,0,0.1,2.5,3.1,1,2.2,1.3,0.6,0.1,1.1,1992,1
