name,games_played,minutes_played,points_scored,goals_scored,goals_attempted,3_point_scored,3_point_attempted,free_throws_scored,free_throws_attempted,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnover,5yrs
Bob Lochmueller,62,12.9,3.7,1.3,4,,,1.2,2,,,0.8,,,,0
Gene Conley,39,11.8,2.3,0.9,2.8,,,0.5,0.8,,,0.5,,,,1
Don Barksdale,62,32.5,12.6,4.4,13,,,3.8,5.5,,,2.2,,,,0
George King,66,28.6,10,3.6,8.8,,,2.8,4,,,3.7,,,,1
Bill Tosheff,65,31.6,9.4,3.3,10,,,2.8,3.4,,,3.4,,,,0
Mel Hutchins,66,39.7,9.2,3.5,9.6,,,2.2,3.4,,,2.9,,,,1
Buckshot O'Brien,64,24.6,9,3.6,9.6,,,1.9,2.3,,,1.9,,,,0
Dave Minor,57,27.3,8.3,3.2,9.2,,,1.8,2.3,,,2.8,,,,0
Wally Osterkorn,66,26.1,7.4,2.2,6.3,,,3,5.1,,,1.8,,,,0
Whitey Skoog,35,28.2,6.7,2.9,8.5,,,0.9,1.1,,,1.7,,,,1
Neil Johnston,64,15.5,6,2.2,4.7,,,1.6,2.4,,,0.6,,,,1
Charlie Share,63,14,3.9,1.2,3.7,,,1.5,2.5,,,1,,,,1
Bob Wilson,63,20.8,3.7,1.3,4.2,,,1.2,2.1,,,1.7,,,,0
